PH level (0-14),Hardness (mg/L),Dissolved Oxygen (mg/L),Biological Oxygen Demand (mg/L),Heavy Metals (mg/L),Nitrates (mg/L),Phosphates (mg/L),Turbidity (NTU),Conductivity (µ/cm),Water Type Probability
6.14,143.02,5.76,12.1,0.1967,1.49,2.06,88.7,1868.44,Inorganic
7.16,386.4,11.13,3.87,0.1212,44.33,2.52,96.87,1193.66,Organic
8.38,65.81,13.11,13.54,0.0507,29.68,0.77,43.47,223.58,Organic
7.85,94.91,11.36,6.54,0.2098,19.71,0.51,76.69,826.57,Organic
6.8,363.35,6.16,19.38,0.1208,3.15,0.96,52.88,502.07,Inorganic
7.9,268.14,3.28,27.18,0.3391,46.46,4.13,50.81,672.64,Inorganic
7.06,401.58,7.06,25.75,0.3547,39.88,3.5,30.46,1248.78,Inorganic
6.87,188.05,9.59,21.17,0.3384,32,1.74,86.85,1735.88,Inorganic
7.41,466.9,10.23,21.3,0.1094,30.51,1.16,71.51,678.03,Inorganic
7.33,429.57,4.76,13.35,0.1321,1.97,3.5,59.3,269.21,Inorganic
6.24,366.7,11.95,10.5,0.4326,7.2,4.96,68.9,1301.71,Inorganic
7.23,91.64,4.77,4.46,0.2945,15.31,3.43,61.27,380.72,Inorganic
7.7,492.3,5.21,5.23,0.0646,22.61,3.8,82.59,1164.11,Inorganic
7.77,495.52,6.35,12.44,0.1337,45.4,0.22,19.65,1279.64,Organic
8.15,200.26,11.69,4.46,0.103,34.24,1.49,47.55,1879.81,Organic
5.53,453.34,6.35,15.78,0.0315,25.44,2.32,76.78,1234.9,Inorganic
7.99,416.98,4.25,17.35,0.217,21.32,1.46,97.7,1970.39,Inorganic
8.86,444.66,6.95,26.17,0.1201,5.49,2.5,47.68,1599.2,Inorganic
8.22,96.47,9.88,29.13,0.1023,13.91,0.92,71.07,1673.99,Inorganic
7.17,135.03,2.08,2.22,0.2628,25.87,3.55,64.08,1539.41,Organic
5.64,317.61,2.06,29.47,0.2808,46.9,2.61,32.27,1843.81,Inorganic
6.05,357.5,9.3,1.99,0.349,14.97,0.91,57.73,1292.57,Organic
5.75,78.46,10.05,2.43,0.2128,41.35,4.93,83.26,584.45,Organic
7.57,341,5,15.85,0.0828,35.11,3.79,32.13,1379.95,Inorganic
8.61,467.66,10.55,17.17,0.1302,13.26,3.37,87.87,1367.39,Inorganic
5.77,66.06,2.06,18.92,0.3062,3.7,4.01,81.13,651.82,Inorganic
6.38,433.71,11.06,17.19,0.2128,35.26,3.14,89.99,202.11,Inorganic
5.56,426.26,9.63,27.65,0.1375,35.03,0.58,58.57,1873.19,Inorganic
7.42,146.26,12.53,2.7,0.4084,46.88,3.99,76.86,1321.92,Organic
8.16,54.66,13.67,10.54,0.4484,49.25,2.08,60.18,467.77,Organic
8.98,401.34,13.52,9.73,0.4451,29.02,0.22,68.27,357.06,Organic
7.6,421.52,6.38,23.26,0.1403,9.25,0.85,66.62,1632.6,Inorganic
7.83,70.99,2.02,20.34,0.2773,15.84,0.23,60.01,143.09,Inorganic
7.66,364.71,9.25,12.15,0.0601,30.44,2.11,15.15,123.35,Organic
7.23,466.61,10.77,2.96,0.458,34.29,1.44,43.79,1319.02,Organic
8.87,419.06,12.22,12.75,0.3811,37.76,2.24,34.26,423.82,Organic
6.12,158.14,3.02,8.54,0.1867,12.07,4.01,24.09,1583.9,Inorganic
6.03,149.28,7.67,8.28,0.1606,24.16,0.46,7.79,1554.85,Organic
6.31,262.64,9.86,13.78,0.4417,38.66,4.17,73.6,1242.51,Organic
7.69,460.48,10.43,14.6,0.4265,29.85,2.56,45.31,1631.87,Inorganic
6.03,256.17,12.41,15.18,0.081,1.78,3.36,91.11,382.26,Inorganic
7.76,237.56,12.92,15,0.2588,5.02,3.76,81.25,1478.18,Inorganic
7.2,360.3,9.9,11.95,0.1005,35.47,3.7,58.57,507.12,Organic
7.33,289.06,10.55,26.78,0.3927,19.76,3.47,85.75,1996.17,Inorganic
7.84,123.11,7.07,14.01,0.0285,10.93,2.94,58.4,1386.27,Inorganic
6.99,498.35,2.83,8.9,0.1673,45.09,2.7,79.89,963.35,Organic
7.17,279.89,12.03,20.73,0.4429,19.59,2.6,16.22,307.07,Inorganic
8.52,311.57,4.14,1.65,0.1381,35.8,4.96,72.88,858.25,Organic
7.42,253.56,13.6,1.44,0.0755,19.16,0.41,70.58,1985.17,Organic
5.65,319.07,6.73,6.13,0.4741,26.8,3.29,54.7,1170.31,Organic
7.35,415.66,12.91,22.95,0.1582,25.57,1.76,31,1542.03,Inorganic
8.14,206.21,11.17,16.65,0.3275,16.4,1.65,17.49,855.93,Inorganic
7.85,405.87,6.5,19.95,0.3587,45.78,2.96,86.72,109.04,Inorganic
7.76,444.18,3.13,19.1,0.205,6.81,0.19,84.5,577.52,Inorganic
7.08,199.4,3.27,29.18,0.3595,29.45,1.32,37.75,51.71,Inorganic
7.84,109.27,6.58,20.12,0.3619,12.88,2.17,25.42,375.32,Inorganic
5.93,98.35,2.05,4.79,0.0481,25.95,4.09,24.2,350.58,Organic
8.52,169.61,4.21,13.12,0.3362,25.2,2.28,92.68,298.61,Inorganic
5.94,418.9,4.22,12.96,0.124,22.47,1.18,46.6,244.71,Inorganic
6.15,479.21,4.69,3.46,0.2423,15.51,3.46,51.21,1359.89,Inorganic
8.31,403.89,3.34,14.54,0.1603,3.18,4.92,62.18,97.55,Inorganic
6.44,307.11,3.23,8.95,0.4887,27.94,4.7,95.47,1246.5,Inorganic
7.53,457.6,9.68,23.99,0.3751,1.43,2.42,79.07,188.66,Inorganic
8.78,311.29,12.68,15.4,0.2595,36.99,2.07,35.57,1930.86,Organic
8.86,273.49,3.35,27.88,0.1907,36.43,1.47,47.68,1991.5,Inorganic
5.58,381.04,6.83,29.59,0.1291,45.05,2.68,98.37,392.9,Inorganic
5.74,438.92,7.49,7.04,0.4152,17.12,4.93,57.59,1866.2,Inorganic
8.24,84.18,3.06,8.45,0.1781,24.48,1.83,86.97,1202.18,Inorganic
8.35,201.1,6.8,13.29,0.1152,2.89,0.87,82.05,1130.86,Inorganic
6.33,276.86,7.68,25,0.0527,35.68,1.14,63.79,1190.87,Inorganic
6.32,214.83,2.69,23.96,0.1943,21.83,1.23,69.85,979.17,Inorganic
6.15,398.85,9.28,1.83,0.0195,24.81,3.44,92.15,1904.83,Organic
7.01,270.24,5.73,8.3,0.095,14.09,4.93,97.11,844.12,Inorganic
5.51,425.63,10.09,23.78,0.3766,7.8,1.64,78.06,1842.74,Inorganic
7.11,189.35,3.51,22.42,0.3701,21.4,3.96,67.94,1380.94,Inorganic
5.58,440.25,2.89,15.64,0.0059,43.99,3.17,84.5,1110.96,Inorganic
5.79,165.19,8.29,27.47,0.126,23.59,1.25,43.63,1113.11,Inorganic
8.88,210.44,8.58,27.5,0.3119,13.46,1.87,4.48,872.68,Inorganic
7.94,121.22,4.63,16.06,0.2295,12.64,4.05,94.47,1035.73,Inorganic
6.79,52.92,3.24,4.03,0.4175,17.08,2.1,5.64,793.43,Inorganic
6.1,381.81,4.3,10.25,0.4894,27.23,3.79,14.76,271.4,Inorganic
8.79,75.7,9.98,4.16,0.1898,4.47,0.91,80.02,790.54,Inorganic
6.69,341.89,2.77,17.3,0.1451,48.31,2.85,52.84,848.7,Inorganic
8.16,78,8.62,10.88,0.0302,15.87,4.01,45.25,324.97,Inorganic
7.21,158.89,13.67,20.2,0.4019,43.27,3.81,78.11,137.25,Organic
5.52,427.04,8.52,17.04,0.0785,2.6,0.39,72.99,1878.04,Inorganic
7.58,368.37,13.15,9.96,0.4605,36.01,2.08,30,298.09,Organic
6.97,290.93,5.92,20.79,0.4087,5.99,1.27,81.14,146.4,Inorganic
6.75,235.79,4.92,20.32,0.26,33.32,1.47,75.1,540.94,Inorganic
7.4,239.37,12.13,20.74,0.4201,48.96,3.64,68.77,1865.15,Organic
6.53,135.62,7.83,20.1,0.4229,8.96,0.58,2.22,228.08,Inorganic
6.43,138.89,8.95,16.05,0.115,33.26,1.6,47.47,1362.37,Inorganic
5.68,340.73,10.67,8.19,0.2521,31.79,0.44,85.28,1461.11,Organic
7.43,286.46,12.88,21.81,0.4924,15.19,2.52,52.5,1163.07,Inorganic
6.9,423.49,12.52,4.66,0.2819,14.54,3.09,90.31,551.48,Inorganic
7.53,279.2,2.22,4.52,0.2909,0.6,1.65,19.96,1780,Inorganic
6.53,435.9,2.59,20.57,0.1914,37.27,1.48,69.92,1195.22,Inorganic
6.73,372.33,13.5,15.94,0.081,43.85,1.14,0.83,703.67,Organic
7.51,102.54,6.45,26.19,0.1141,25.72,2.71,22.6,1948.86,Inorganic
5.96,295.68,4.52,19.18,0.0164,18.68,4.56,37.35,80.82,Inorganic
8.3,403.03,11.95,13.04,0.2183,9.72,0.18,9.08,814.17,Inorganic
8.35,100.44,12.76,27.38,0.4808,40.56,4.85,79.09,720.99,Inorganic
6.31,491.49,4.25,9.38,0.1185,25.29,2.88,10.23,1424.4,Organic
7.74,217.44,11.4,1.04,0.0874,36.55,0.24,40.73,70.42,Organic
6.05,394.19,10.07,29.56,0.4347,42.88,3.2,67.59,1785.69,Inorganic
6.31,378.4,11.41,8.9,0.3486,9.65,3.04,24.98,261.53,Inorganic
6.83,466.28,11.59,19.12,0.0081,3.62,1.18,82.15,688.77,Inorganic
7.97,276.19,9.74,4.45,0.036,43.73,2.24,86.68,1894.33,Organic
7.54,149.33,5.97,26.31,0.0301,33.19,4.21,17.81,228.31,Inorganic
7.28,352.85,13.87,18.17,0.0683,25.18,4.45,84.18,304.2,Inorganic
7.59,291.13,3.68,27.02,0.3287,24.02,4.38,11.3,1631.23,Inorganic
6.68,366.62,9.83,10.25,0.085,43.65,3.1,38.18,925.79,Organic
6.97,188.72,3.64,4.02,0.3533,14.86,2.66,62.97,1756.53,Inorganic
7.64,53.66,13.3,25.24,0.2131,30.99,1.98,39.06,950.88,Inorganic
7.43,353.27,12.5,18.26,0.4771,27.72,2.6,61.62,790.54,Inorganic
8.93,201.74,6.85,8.49,0.2438,44.17,4.85,49.9,734.81,Organic
7.75,311.44,12.16,14.68,0.1811,14.36,2.9,31.38,1725.78,Inorganic
7.95,351.51,6.59,26.35,0.3781,4.57,4.09,73.01,1576.44,Inorganic
8.91,493.33,4.21,11.79,0.02,18.11,4.82,39.21,1416.59,Inorganic
6.82,266.33,12.48,4.69,0.4012,43.59,2.65,35.44,1019.19,Organic
7.93,81.84,9.9,21.83,0.1588,11.56,1.95,96.53,1460.14,Inorganic
6.74,352.86,10.54,26.35,0.2816,21.83,4.28,22.04,759.16,Inorganic
8.25,81.71,2.27,29.16,0.1565,38.55,2.72,98.55,379.63,Inorganic
6.21,328.91,7.03,19.24,0.0234,40.25,4.34,68.85,1974.62,Inorganic
8.74,126.14,13.55,28.5,0.4451,41.84,1.96,28.04,699.27,Inorganic
8.18,491.89,8.84,22.93,0.0191,10.86,0.03,2.15,1593.78,Inorganic
5.97,120.05,3.19,16.23,0.3882,28.32,4.12,28.22,1460.28,Inorganic
8.97,382.4,13.54,16.25,0.0499,14.77,1.88,43.4,1528.74,Inorganic
8.93,426.01,8.3,20.54,0.4629,17.22,4.6,33.48,1255.54,Inorganic
6.48,183.02,8.41,20.96,0.0176,4.67,1.9,88.87,995.57,Inorganic
6.18,240.34,2.03,29.83,0.1509,32.36,0.78,89.51,365.26,Inorganic
6.53,244.98,3.26,19.28,0.0473,20.73,0.25,70.22,346,Inorganic
7.62,338.79,12.14,28.29,0.0128,35.77,4.45,87.16,1497.61,Inorganic
6.45,89.42,8.19,12.62,0.1512,40.2,2.21,98.83,556.43,Organic
6.23,349.7,11.33,19.88,0.4842,21.08,0.3,33.86,239.97,Inorganic
6.58,460.38,3.97,13.4,0.4637,26.16,2.26,56.92,357.37,Inorganic
5.6,235.16,12.35,7.14,0.2917,23.12,4.69,15.98,1741.19,Organic
8.62,233.35,9.61,18.62,0.1896,17.41,1.09,60.77,1477.42,Inorganic
8.01,318.53,11.39,7.95,0.1258,20.83,3.76,5.32,1942.65,Organic
8.75,385.13,12.19,22.81,0.3503,28.26,0.31,26.45,439.26,Inorganic
8.66,444.23,8.6,12.87,0.2337,19.36,3.34,6.72,1116.24,Inorganic
5.54,460.65,13.61,23.58,0.3616,37.58,3.58,1.56,1339.79,Organic
8.83,189.02,8.79,13.99,0.2651,45.67,4.53,25.18,869.83,Organic
7.78,145.62,12.3,20.8,0.2885,9.55,1.15,81.86,1527.01,Inorganic
8.78,282.01,2.76,29.9,0.1667,24.44,1.3,77.8,688.03,Inorganic
6.3,341.15,12.55,27.3,0.415,3.14,1.13,48.18,403.01,Inorganic
6.61,247.68,9.41,8.36,0.1224,3.86,4.89,27.71,1376.51,Inorganic
8.47,59.64,9.93,16.71,0.1484,10.72,2.36,94.42,727.81,Inorganic
8.94,486.06,9.11,13.87,0.058,34.49,4.97,91.21,681.64,Organic
8.94,140.44,3.14,13.67,0.4797,43.84,3.1,66.64,249.6,Inorganic
6.84,463.17,6.92,29.19,0.2833,19.86,1.94,2.08,894.76,Inorganic
7.72,283.64,4.58,22.98,0.1963,1.11,3.94,5.99,403.48,Inorganic
6.46,70.7,13.74,19.66,0.4586,19.26,1.36,50.55,531.27,Inorganic
7.16,288.38,4.34,7.04,0.1095,21.42,4.23,20.07,433.42,Organic
8.26,164.5,12.59,4.91,0.0175,20.55,0.67,47.75,167.77,Organic
6.65,53.51,7.76,29.05,0.0758,28.2,2.57,52.33,1216.28,Inorganic
5.89,100.5,13.26,23.97,0.2297,6.16,3.58,21.56,1649.43,Inorganic
7.47,496.68,6.44,25.67,0.2216,19.98,4.71,87.07,803.18,Inorganic
7.09,489.76,9.78,26.3,0.0739,40.48,3.97,16.71,1687.16,Inorganic
7.54,89.84,12.55,2.24,0.0443,17.29,0.4,13.63,1675.34,Organic
8.36,325.67,13.74,26.95,0.0081,32.63,3.15,61.79,360.12,Inorganic
7.38,322.16,12.83,7.14,0.023,20.6,0.2,28.35,1016.55,Organic
6.06,250.85,5,27.45,0.2634,3.36,5,94.36,1094.86,Inorganic
6.03,256.6,3.23,11.78,0.0309,3.27,3.1,49.64,241.64,Inorganic
8.92,199.48,4.31,17.49,0.2735,28.21,1.02,77.92,588.54,Inorganic
8.34,50.14,11.43,15.78,0.4341,31.14,1.64,25.09,1552.21,Organic
6.21,448.58,10.33,9.45,0.2168,13.2,4.36,49.27,1632.24,Inorganic
6.86,145.11,4.56,26.63,0.4659,36.47,1.41,39.03,327.92,Inorganic
5.67,66.65,5.91,7.25,0.2064,49.57,1.49,51.6,898.71,Organic
7.31,415,3.94,8.55,0.0987,7.23,2.37,51.99,1303.59,Inorganic
7.35,315.51,7.33,16.59,0.2861,38.17,1.81,26.95,1632.72,Organic
6.13,396.93,3.8,18.07,0.0917,28.09,3.4,82.3,517.28,Inorganic
6.8,176.86,5.15,4.66,0.0646,13.36,0.9,32.11,1075.46,Inorganic
6.52,161.21,5.59,26.83,0.1489,7.78,3.12,23.97,1992.55,Inorganic
8.27,250.13,9.96,16.03,0.0283,21.79,3.68,82.09,364.79,Inorganic
6.58,167.4,5.31,3.69,0.4228,39.05,4.86,18.64,969.9,Organic
7.09,205.76,10.43,7.85,0.1726,0.78,1.54,82.13,727.54,Inorganic
8.94,348.74,12.27,17.64,0.0508,48.66,3.63,77.12,695.33,Organic
7.54,455.61,3.9,23.47,0.114,27.61,3.84,58.25,1209.88,Inorganic
6.74,281.76,7.3,4.91,0.1699,39.56,2.53,99.78,565.97,Organic
7.46,497.12,5.37,29.65,0.3995,37.6,0.49,79.92,477.99,Inorganic
7.11,447.98,12.53,11,0.3879,33.15,0.19,93.38,158.36,Inorganic
7.81,110.2,6.52,16.07,0.4389,42.52,2.99,87.47,954.75,Inorganic
7.45,110.15,5.27,16.58,0.3295,47.73,1.23,39.13,1017.81,Organic
6.41,358.77,3.29,24.22,0.497,25.2,2.77,93.31,174.84,Inorganic
6.89,381.5,10.21,14.9,0.2449,2.57,1.7,13.88,110,Inorganic
7.19,344.67,3.84,3.08,0.1639,4.7,1.44,44.02,1492.3,Inorganic
7.87,92.26,7.13,19.14,0.1001,2.17,0.54,70.02,1662.46,Inorganic
8.51,363.52,10.4,24,0.4342,33.94,1.25,62.71,1704.56,Inorganic
7.97,253.52,9.56,1.32,0.3411,38.09,0.44,39.38,1019.34,Organic
6.19,77.48,11.53,17.43,0.2704,13.44,1.48,5.28,766.24,Inorganic
6.79,269.84,5.13,5.02,0.3733,29.01,0.37,5.38,1985.87,Organic
7.51,175.03,6.18,13.32,0.0947,31.82,1.1,50.23,550.66,Inorganic
7.46,94.67,3.1,18.93,0.2797,35.78,1.49,11.15,1502.91,Inorganic
5.51,255.99,10.83,29.78,0.0322,39.68,3.31,35.73,1202.16,Inorganic
7.12,431.56,9.74,2.88,0.2286,23.59,0.44,91.43,1248.4,Organic
8.56,71.79,13.96,8.22,0.2365,45.02,4.08,23.03,1053.71,Organic
5.65,311.33,8.18,1.58,0.2905,38.65,4,83.35,278.51,Organic
7.93,242.94,13.97,13.33,0.2492,32.84,4.59,55.55,234.02,Organic
7.55,447.14,5.62,13,0.1324,11.87,1.14,40.54,1035.51,Inorganic
8.55,306.57,11.14,9.07,0.4312,46.33,3.24,35.35,432.32,Organic
8.61,490.74,10.5,11.7,0.2805,26.55,3.93,15.63,238.77,Organic
5.56,166,2.25,1.1,0.2118,8.7,4.13,24.63,361.05,Inorganic
8.49,360.16,5.24,6.54,0.1707,2.55,1.33,59.26,244.16,Inorganic
6.93,334.99,13.25,4.14,0.4279,22.4,4.45,5.86,937.81,Organic
8.27,53.55,4.67,9.8,0.2035,2.02,3.52,46.66,1482.67,Inorganic
6.31,369.68,10.73,17.18,0.3093,25.69,3.42,89.32,1446.92,Inorganic
7.95,475.66,10.84,25.66,0.2705,37.32,1.11,5.06,1938.36,Inorganic
7.1,438.52,7.93,6.34,0.1149,35.19,3.35,50.13,823.14,Organic
5.93,268.85,9.35,8.11,0.3297,15.95,3.5,32.27,856.74,Inorganic
5.7,81.24,9.75,1.19,0.4324,9.8,3.91,36.61,1885.52,Organic
8.48,437.77,8.22,2.09,0.3853,41.2,2.3,32.89,1711.25,Organic
7.47,328.22,5.69,10.31,0.0096,7.68,3.31,67.11,554.94,Inorganic
7.99,261.78,13.65,23.93,0.3,27.97,4.15,37.33,1406.31,Inorganic
5.52,199.02,2,27.95,0.2644,24.78,0.61,16.79,908.73,Inorganic
6.37,309.06,11.92,21.46,0.3683,43.32,4.49,69.43,1327.45,Inorganic
5.5,297.87,3.39,8.5,0.0955,18.63,4.68,93.1,1046.74,Inorganic
6.65,216.87,11.05,28.83,0.1833,22.59,0.86,92.19,1239.34,Inorganic
7.75,312,11.04,21.87,0.0682,49.49,2.86,94.13,1540.13,Organic
7.81,443.8,13.83,11.69,0.1998,10.28,0.08,95.43,1583.06,Inorganic
6.55,357.14,5.26,25.06,0.2464,10.92,0.42,40.11,1795.85,Inorganic
8.45,343.92,9.38,8.12,0.0726,22.35,3.21,6.05,1944.5,Organic
7.89,449.77,7.1,16.21,0.4593,5.06,2.74,39.69,103.68,Inorganic
8.67,139.22,5.41,26.03,0.351,6.8,0.68,24.95,713.85,Inorganic
5.68,236.46,6.51,2.08,0.4898,30.72,3.69,13.36,1401.23,Organic
8.09,74.22,4.57,14.94,0.072,46.22,1.58,33.57,307.34,Organic
6.63,252.77,12.03,2.24,0.1654,17.38,1.27,98.72,426.71,Organic
7.54,403.93,7.74,8.61,0.0033,34.21,3.24,1.28,1768.04,Organic
5.84,267.36,8.37,5.01,0.0288,13.19,4.66,43.44,1690.06,Organic
7.75,219.19,11.15,20.44,0.398,37.75,3.68,88.08,1210.99,Inorganic
5.71,270.84,7.43,13.78,0.1418,11.75,4.61,25.14,1293.61,Inorganic
8.7,462.92,13.14,23.17,0.3758,38.06,0.03,94.91,878.37,Inorganic
7.05,178.89,2.27,9.41,0.0394,18.56,3.44,45.28,62.12,Inorganic
7.95,247.4,13.81,15.38,0.3907,38.33,1.12,0.46,532,Organic
6.79,387.51,2.6,21.36,0.1831,29.82,1.75,7.55,449.02,Inorganic
5.71,129.87,13.94,4.06,0.4233,22.9,0.43,50.07,265.65,Organic
6.42,283.46,2.33,25.65,0.3321,3.63,2.41,44.09,1010.46,Inorganic
8.54,301.75,6.07,8.48,0.451,28.35,0.93,80.22,973.24,Inorganic
7.68,125.22,11.26,9.74,0.264,17.91,4.12,21.66,1454.99,Organic
7.7,480.56,8.67,18.58,0.0892,6.18,1.99,92.85,1506.93,Inorganic
5.9,183.23,10.09,24.11,0.1394,11.74,4.07,44.7,353.18,Inorganic
8,360.86,8.03,14.03,0.0905,3.18,0.01,36.47,1454.82,Inorganic
5.79,370.3,13.54,22.36,0.4405,44.23,0.25,83.12,1913.66,Inorganic
5.88,195.93,11.34,20.73,0.2248,30.19,3.85,39.84,1396.49,Inorganic
6.35,68.78,3.95,16.8,0.0464,27.17,3.75,14.5,1933.3,Inorganic
7.6,403.43,6.86,4.02,0.4065,31.2,2.56,62.63,526.3,Organic
5.94,379.97,8.21,21.78,0.0985,27.36,4.13,68.37,1177.62,Inorganic
8.91,226.1,12.78,23.93,0.1235,9.9,1.35,48.72,750.06,Inorganic
6.65,314.76,9.81,24.62,0.0976,15.08,4.98,68.92,1992.3,Inorganic
6.45,241.19,11.98,2.93,0.4836,48.15,0.32,77.11,1460.03,Organic
6.46,290.03,9.47,22.99,0.1612,15.08,2.3,85.35,889.95,Inorganic
7.93,379.79,6.22,22.57,0.1428,0.59,3.2,26.2,611.39,Inorganic
6.75,339.85,6.79,13.3,0.0187,29.77,1.73,8.08,1090.82,Organic
7.33,338.92,3.27,29.54,0.2805,17.16,2.41,63.17,724.89,Inorganic
7.61,296.2,9.82,28.62,0.0312,26.13,2.63,96.32,51.92,Inorganic
8.55,198.97,5.56,1.86,0.3463,42.8,0.82,18.65,1472.73,Organic
6.74,69.82,2.36,27.2,0.4596,4.53,2.59,18.5,1734.21,Inorganic
6.79,489.1,4.42,21.08,0.0435,8.39,1.35,44.23,1779.33,Inorganic
6.53,387.42,8.34,23.21,0.1841,41.38,0.81,65.39,116.58,Inorganic
6.46,265.51,11.25,20.5,0.2275,14.31,0.71,7.04,467.93,Inorganic
6.06,371.83,10.39,22.71,0.1311,26.37,1.57,65.33,287.16,Inorganic
6.31,405.46,3.04,14.88,0.3798,4.54,0.7,33.13,742.33,Inorganic
6.42,184.52,5.81,9.94,0.4471,18.81,2.83,51.61,1578.39,Inorganic
7.04,458.24,8.3,15.05,0.0423,26.15,0.62,40.08,362.08,Inorganic
8.28,486.18,11,28.49,0.4896,1.57,0.57,69.42,1832.98,Inorganic
6.31,216.17,13.04,26.77,0.0435,6.33,4.53,83.93,1070.75,Inorganic
7.9,497.31,9.07,25.7,0.3325,30.17,0.95,34.41,1413.52,Inorganic
7.39,294.15,7.12,10.77,0.4669,14.67,2.96,7.37,562.96,Inorganic
5.82,167.85,11.93,25.86,0.1683,28.41,0.96,79.12,1989.06,Inorganic
6.97,95.5,9.38,23.29,0.0902,44.9,3.92,69.65,419.1,Inorganic
8.77,182.45,10.91,10.24,0.4669,7.1,0.73,75.45,481.34,Inorganic
6,305.68,5.15,29.25,0.0882,6.74,1.51,28.51,1789.69,Inorganic
6.31,287.79,2.63,27.73,0.1175,44.66,2.26,65.96,540.87,Inorganic
6.96,413.42,4.96,23.52,0.4813,28.97,3.08,93.64,1613.58,Inorganic
6.03,459.53,5.92,22.69,0.0859,14.52,0.14,53.85,1132.95,Inorganic
7.31,206.14,11.81,2.25,0.0442,25.07,3.8,35.94,316.29,Organic
8.03,272.02,10.95,15.13,0.0909,33.17,4.58,33.07,214.71,Organic
7.59,441.82,11.54,9.24,0.1865,4.92,2.46,32.65,254.97,Inorganic
7.79,477.91,3.74,8.52,0.4253,22.2,2.52,15.03,237.02,Inorganic
7.14,327.6,13.97,3.34,0.4916,35.07,1.76,98,291.17,Organic
5.91,210.7,8.62,28.21,0.3546,12.19,0.29,92.02,1636.8,Inorganic
7.36,275.64,12.11,27.2,0.336,3.89,1.99,72.42,1810.85,Inorganic
7.35,191.27,2.42,22.72,0.3375,42.56,1.49,96.51,640.26,Inorganic
8.77,409.78,9.66,23.5,0.4453,10.96,1.33,21.77,445.83,Inorganic
6.07,443.07,3.76,12.4,0.3424,14.56,3.62,7.89,79.57,Inorganic
6.58,422.7,10.97,18.77,0.0325,27.98,2.97,39.96,1990.69,Inorganic
7.49,315.44,13.67,18.55,0.2249,7.01,1.55,99.1,192.91,Inorganic
7.01,292.59,12.31,17.02,0.1252,46.19,1.4,88.07,275.71,Organic
8.72,255.57,13.79,13.91,0.012,14.03,4.97,96.26,1970.51,Inorganic
6.92,463.09,9.54,9.42,0.0041,10.54,0.19,90.35,869.36,Inorganic
7.29,475.54,12.65,22.99,0.4264,13.8,3.25,45.44,520.69,Inorganic
7.33,163.27,12.36,24.9,0.118,23.56,0.72,38.1,1585.75,Inorganic
6.65,411.64,4.02,10.57,0.3229,34.34,4.96,21.65,418.47,Organic
8.37,418.64,2.24,7.74,0.0468,11.68,0.43,39.81,625,Inorganic
6.05,431.86,3.52,14.4,0.3472,27.8,3.35,74.29,1333.06,Inorganic
8.33,446.82,11.42,12.66,0.051,41.06,4.34,62.18,320.93,Organic
8.56,328.02,9.1,26.6,0.256,28.9,0.09,4.77,1331.98,Inorganic
7.82,236.2,3.24,10.73,0.0687,24.69,2.01,81.25,604.1,Inorganic
6.33,301.44,9.23,24.7,0.0857,37.38,4.43,29.52,1966.92,Inorganic
7.84,76.66,5.73,27.77,0.0124,35.74,4.55,30.27,875.13,Inorganic
6.93,407.74,9.03,18.17,0.2942,25.12,3.51,28.7,564.53,Inorganic
5.86,259.58,2.19,12.84,0.0771,12.23,0.34,82.13,1969.97,Inorganic
8.67,339.35,4.39,10.84,0.2871,7.79,1.34,35.23,128.62,Inorganic
6.84,153.88,9,28.25,0.2591,46.24,1.25,45.91,1466.84,Inorganic
7.92,391.32,11.92,19.23,0.1261,37.3,3.62,33.53,1394.45,Organic
7.93,155.86,12.04,8.86,0.4938,2.18,1.41,40.34,1110.3,Inorganic
8.75,334.05,13.41,15.57,0.2446,25.5,1.6,79.25,1749.44,Inorganic
8.68,273.05,13.85,7.04,0.4394,38.19,3.34,31.08,820.87,Organic
5.73,385.3,3.8,19,0.1719,24.97,3.48,80.33,1476.95,Inorganic
7.47,369.49,13.7,22.59,0.0324,21.46,0.47,59.43,345.46,Inorganic
8.69,118.83,8.69,6.65,0.0371,5.1,2.38,22.68,953.88,Inorganic
8.17,460.79,2.21,26.63,0.0593,8.96,0.3,15.93,1946.66,Inorganic
7.64,281.57,5.58,18.55,0.3829,9.02,4.5,48.25,506.94,Inorganic
8.07,260.27,7.79,7.93,0.2071,35.65,2,95.42,375.84,Organic
7.56,435.06,11.75,9.45,0.1429,17.31,2.63,48.81,779.19,Organic
7.3,123.65,11.04,28.7,0.3588,43.47,4.2,47.08,184.88,Inorganic
6.14,225,7.4,6.54,0.2908,34.77,0.61,54.44,834.72,Organic
7.97,85.19,7.95,27.98,0.4211,5.97,3.43,61.97,641.98,Inorganic
6.89,139.16,13.2,23.33,0.4916,19.8,4.2,7.55,1042.92,Inorganic
6.8,274.47,13.59,8.33,0.24,20.49,2.48,3.15,529.98,Organic
6.1,195.34,9.84,6.57,0.1528,2.23,2.56,31.03,739.09,Inorganic
7.06,142.41,3.41,24.4,0.4807,38.83,3.42,23.61,1125.94,Inorganic
7.16,89.2,9.07,27.93,0.3282,20.19,4.27,13.02,1483.89,Inorganic
5.52,489.98,12.04,25.25,0.2974,27.53,2.29,53.21,1847.82,Inorganic
6.46,460.09,3.53,20.33,0.3533,46.23,3.09,43.37,1200.3,Inorganic
